city,prop_type,prop_size(lower),outcode,prop_price
slough,5,3891.0,SW,1999950.0
slough,5,2539.0,KT,900000.0
slough,5,2242.0,SM,795000.0
slough,5,3000.0,N,7500000.0
slough,5,1503.0,CR,500000.0
slough,5,2729.0,GU,395000.0
slough,5,3600.0,SE,750000.0
slough,5,1600.0,SE,350000.0
maidenhead,5,215714.0,HP,4500000.0
maidenhead,5,13285.0,UB,2200000.0
maidenhead,5,2182.0,SW,1400000.0
maidenhead,5,3891.0,SW,1999950.0
maidenhead,5,2539.0,KT,900000.0
maidenhead,5,2729.0,GU,395000.0
maidenhead,5,2242.0,SM,795000.0
maidenhead,5,3000.0,N,7500000.0
maidenhead,5,1503.0,CR,500000.0
maidenhead,5,3600.0,SE,750000.0
reading,6,2566.0,GU,515000.0
reading,6,1012.0,TW,625000.0
reading,6,2000.0,GU,1200000.0
reading,6,1012.0,OX,200000.0
reading,6,1352.0,GU,285000.0
reading,6,1378.0,GU,395000.0
reading,6,8083.0,GU,750000.0
reading,6,4000.0,GU,895000.0
reading,6,9185.0,GU,1850000.0
reading,6,43579.0,GU,675000.0
reading,6,22526.0,OX,8500000.0
reading,6,1800.0,GU,425000.0
reading,6,4162.0,TW,1100000.0
reading,6,2228.0,KT,900000.0
slough,6,1012.0,TW,625000.0
slough,6,4162.0,TW,1100000.0
slough,6,2000.0,GU,1200000.0
slough,6,1378.0,GU,395000.0
slough,6,8083.0,GU,750000.0
slough,6,2228.0,KT,900000.0
slough,6,19175.0,SW,1900000.0
slough,6,9185.0,GU,1850000.0
slough,6,22604.0,CR,5000000.0
slough,6,4000.0,GU,895000.0
slough,6,2566.0,GU,515000.0
slough,6,2873.0,CR,735000.0
slough,6,6781.0,CR,2550000.0
slough,6,6032.0,GU,1250000.0
slough,6,1800.0,GU,425000.0
slough,6,1352.0,GU,285000.0
maidenhead,6,1012.0,TW,625000.0
maidenhead,6,2000.0,GU,1200000.0
maidenhead,6,4162.0,TW,1100000.0
maidenhead,6,1378.0,GU,395000.0
maidenhead,6,8083.0,GU,750000.0
maidenhead,6,2228.0,KT,900000.0
maidenhead,6,2566.0,GU,515000.0
maidenhead,6,9185.0,GU,1850000.0
maidenhead,6,4000.0,GU,895000.0
maidenhead,6,19175.0,SW,1900000.0
maidenhead,6,22604.0,CR,5000000.0
maidenhead,6,1012.0,OX,200000.0
maidenhead,6,6032.0,GU,1250000.0
maidenhead,6,2873.0,CR,735000.0
maidenhead,6,1352.0,GU,285000.0
maidenhead,6,6781.0,CR,2550000.0
maidenhead,6,43579.0,GU,675000.0
maidenhead,6,1800.0,GU,425000.0
bristol,6,3000.0,BS,260000.0
bristol,6,4014.0,CF,600000.0
swindon,6,1012.0,OX,200000.0
swindon,6,22526.0,OX,8500000.0
